EnsemblID,UniProtID,GeneSymbolID,PathwayStId,PathwayDisplayName,PathwayReactomeLink
ENSG00000105173,P24864,CCNE1,R-HSA-69205,G1/S-Specific Transcription,https://reactome.org/PathwayBrowser/#/R-HSA-69205
ENSG00000105173,P24864,CCNE1,R-HSA-69231,Cyclin D associated events in G1,https://reactome.org/PathwayBrowser/#/R-HSA-69231
ENSG00000105173,P24864,CCNE1,R-HSA-69563,p53-Dependent G1 DNA Damage Response,https://reactome.org/PathwayBrowser/#/R-HSA-69563
ENSG00000105173,P24864,CCNE1,R-HSA-8849470,PTK6 Regulates Cell Cycle,https://reactome.org/PathwayBrowser/#/R-HSA-8849470
ENSG00000105173,P24864,CCNE1,R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",https://reactome.org/PathwayBrowser/#/R-HSA-9661069
ENSG00000105173,P24864,CCNE1,R-HSA-9706019,RHOBTB3 ATPase cycle,https://reactome.org/PathwayBrowser/#/R-HSA-9706019
ENSG00000164007,Q8N6F1,CLDN19,R-HSA-420029,Tight junction interactions,https://reactome.org/PathwayBrowser/#/R-HSA-420029
ENSG00000224215,,,,,
ENSG00000189159,,JPT1,,,
ENSG00000125414,Q9UKX2,MYH2,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,https://reactome.org/PathwayBrowser/#/R-HSA-2029482
ENSG00000125414,Q9UKX2,MYH2,R-HSA-9664422,FCGR3A-mediated phagocytosis,https://reactome.org/PathwayBrowser/#/R-HSA-9664422
ENSG00000189129,,PLAC9,,,
ENSG00000143228,Q9BZD4,NUF2,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,https://reactome.org/PathwayBrowser/#/R-HSA-141444
ENSG00000143228,Q9BZD4,NUF2,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000143228,Q9BZD4,NUF2,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,https://reactome.org/PathwayBrowser/#/R-HSA-2500257
ENSG00000143228,Q9BZD4,NUF2,R-HSA-5663220,RHO GTPases Activate Formins,https://reactome.org/PathwayBrowser/#/R-HSA-5663220
ENSG00000143228,Q9BZD4,NUF2,R-HSA-68877,Mitotic Prometaphase,https://reactome.org/PathwayBrowser/#/R-HSA-68877
ENSG00000143228,Q9BZD4,NUF2,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,https://reactome.org/PathwayBrowser/#/R-HSA-9648025
ENSG00000101407,,TTI1,,,
ENSG00000183607,,GKN2,,,
ENSG00000129195,,PIMREG,,,
ENSG00000072163,Q7Z4I7,LIMS2,R-HSA-446353,Cell-extracellular matrix interactions,https://reactome.org/PathwayBrowser/#/R-HSA-446353
ENSG00000147526,,TACC1,,,
ENSG00000138092,Q9BU64,CENPO,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,https://reactome.org/PathwayBrowser/#/R-HSA-141444
ENSG00000138092,Q9BU64,CENPO,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000138092,Q9BU64,CENPO,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,https://reactome.org/PathwayBrowser/#/R-HSA-2500257
ENSG00000138092,Q9BU64,CENPO,R-HSA-5663220,RHO GTPases Activate Formins,https://reactome.org/PathwayBrowser/#/R-HSA-5663220
ENSG00000138092,Q9BU64,CENPO,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,https://reactome.org/PathwayBrowser/#/R-HSA-606279
ENSG00000138092,Q9BU64,CENPO,R-HSA-68877,Mitotic Prometaphase,https://reactome.org/PathwayBrowser/#/R-HSA-68877
ENSG00000138092,Q9BU64,CENPO,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,https://reactome.org/PathwayBrowser/#/R-HSA-9648025
ENSG00000204949,,FAM83A-AS1,,,
ENSG00000178726,P07204,THBD,R-HSA-140875,Common Pathway of Fibrin Clot Formation,https://reactome.org/PathwayBrowser/#/R-HSA-140875
ENSG00000178726,P07204,THBD,R-HSA-202733,Cell surface interactions at the vascular wall,https://reactome.org/PathwayBrowser/#/R-HSA-202733
ENSG00000154839,Q96BD8,SKA1,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,https://reactome.org/PathwayBrowser/#/R-HSA-141444
ENSG00000154839,Q96BD8,SKA1,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000154839,Q96BD8,SKA1,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,https://reactome.org/PathwayBrowser/#/R-HSA-2500257
ENSG00000154839,Q96BD8,SKA1,R-HSA-5663220,RHO GTPases Activate Formins,https://reactome.org/PathwayBrowser/#/R-HSA-5663220
ENSG00000154839,Q96BD8,SKA1,R-HSA-68877,Mitotic Prometaphase,https://reactome.org/PathwayBrowser/#/R-HSA-68877
ENSG00000154839,Q96BD8,SKA1,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,https://reactome.org/PathwayBrowser/#/R-HSA-9648025
ENSG00000154736,Q9UNA0,ADAMTS5,R-HSA-1474228,Degradation of the extracellular matrix,https://reactome.org/PathwayBrowser/#/R-HSA-1474228
ENSG00000154736,Q9UNA0,ADAMTS5,R-HSA-5083635,Defective B3GALTL causes PpS,https://reactome.org/PathwayBrowser/#/R-HSA-5083635
ENSG00000154736,Q9UNA0,ADAMTS5,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,https://reactome.org/PathwayBrowser/#/R-HSA-5173214
ENSG00000088325,Q9ULW0,TPX2,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,https://reactome.org/PathwayBrowser/#/R-HSA-6804756
ENSG00000088325,Q9ULW0,TPX2,R-HSA-8854518,AURKA Activation by TPX2,https://reactome.org/PathwayBrowser/#/R-HSA-8854518
ENSG00000157654,,PALM2AKAP2,,,
ENSG00000281852,,LINC00891,,,
ENSG00000154783,Q6ZNL6,FGD5,R-HSA-9013149,RAC1 GTPase cycle,https://reactome.org/PathwayBrowser/#/R-HSA-9013149
ENSG00000198478,,SH3BGRL2,,,
ENSG00000168496,P39748,FEN1,R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,https://reactome.org/PathwayBrowser/#/R-HSA-110362
ENSG00000168496,P39748,FEN1,R-HSA-162594,Early Phase of HIV Life Cycle,https://reactome.org/PathwayBrowser/#/R-HSA-162594
ENSG00000168496,P39748,FEN1,R-HSA-174437,Removal of the Flap Intermediate from the C-strand,https://reactome.org/PathwayBrowser/#/R-HSA-174437
ENSG00000168496,P39748,FEN1,R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair,https://reactome.org/PathwayBrowser/#/R-HSA-5651801
ENSG00000168496,P39748,FEN1,R-HSA-5685939,HDR through MMEJ (alt-NHEJ),https://reactome.org/PathwayBrowser/#/R-HSA-5685939
ENSG00000168496,P39748,FEN1,R-HSA-69166,Removal of the Flap Intermediate,https://reactome.org/PathwayBrowser/#/R-HSA-69166
ENSG00000180440,,SERTM1,,,
ENSG00000079308,,TNS1,,,
ENSG00000253642,,,,,
ENSG00000181092,Q15848,ADIPOQ,R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,https://reactome.org/PathwayBrowser/#/R-HSA-163680
ENSG00000181092,Q15848,ADIPOQ,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,https://reactome.org/PathwayBrowser/#/R-HSA-381340
ENSG00000116711,P47712,PLA2G4A,R-HSA-111995,phospho-PLA2 pathway,https://reactome.org/PathwayBrowser/#/R-HSA-111995
ENSG00000116711,P47712,PLA2G4A,R-HSA-1482788,Acyl chain remodelling of PC,https://reactome.org/PathwayBrowser/#/R-HSA-1482788
ENSG00000116711,P47712,PLA2G4A,R-HSA-1482798,Acyl chain remodeling of CL,https://reactome.org/PathwayBrowser/#/R-HSA-1482798
ENSG00000116711,P47712,PLA2G4A,R-HSA-1482801,Acyl chain remodelling of PS,https://reactome.org/PathwayBrowser/#/R-HSA-1482801
ENSG00000116711,P47712,PLA2G4A,R-HSA-1482839,Acyl chain remodelling of PE,https://reactome.org/PathwayBrowser/#/R-HSA-1482839
ENSG00000116711,P47712,PLA2G4A,R-HSA-1482922,Acyl chain remodelling of PI,https://reactome.org/PathwayBrowser/#/R-HSA-1482922
ENSG00000116711,P47712,PLA2G4A,R-HSA-1482925,Acyl chain remodelling of PG,https://reactome.org/PathwayBrowser/#/R-HSA-1482925
ENSG00000116711,P47712,PLA2G4A,R-HSA-1483115,Hydrolysis of LPC,https://reactome.org/PathwayBrowser/#/R-HSA-1483115
ENSG00000116711,P47712,PLA2G4A,R-HSA-1483166,Synthesis of PA,https://reactome.org/PathwayBrowser/#/R-HSA-1483166
ENSG00000116711,P47712,PLA2G4A,R-HSA-2142753,Arachidonic acid metabolism,https://reactome.org/PathwayBrowser/#/R-HSA-2142753
ENSG00000116711,P47712,PLA2G4A,R-HSA-418592,ADP signalling through P2Y purinoceptor 1,https://reactome.org/PathwayBrowser/#/R-HSA-418592
ENSG00000116711,P47712,PLA2G4A,R-HSA-432142,Platelet sensitization by LDL,https://reactome.org/PathwayBrowser/#/R-HSA-432142
ENSG00000116711,P47712,PLA2G4A,R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,https://reactome.org/PathwayBrowser/#/R-HSA-6811436
ENSG00000156052,P50148,GNAQ,R-HSA-112043,PLC beta mediated events,https://reactome.org/PathwayBrowser/#/R-HSA-112043
ENSG00000156052,P50148,GNAQ,R-HSA-202040,G-protein activation,https://reactome.org/PathwayBrowser/#/R-HSA-202040
ENSG00000156052,P50148,GNAQ,R-HSA-399997,Acetylcholine regulates insulin secretion,https://reactome.org/PathwayBrowser/#/R-HSA-399997
ENSG00000156052,P50148,GNAQ,R-HSA-416476,G alpha (q) signalling events,https://reactome.org/PathwayBrowser/#/R-HSA-416476
ENSG00000156052,P50148,GNAQ,R-HSA-418592,ADP signalling through P2Y purinoceptor 1,https://reactome.org/PathwayBrowser/#/R-HSA-418592
ENSG00000156052,P50148,GNAQ,R-HSA-428930,Thromboxane signalling through TP receptor,https://reactome.org/PathwayBrowser/#/R-HSA-428930
ENSG00000156052,P50148,GNAQ,R-HSA-434316,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,https://reactome.org/PathwayBrowser/#/R-HSA-434316
ENSG00000156052,P50148,GNAQ,R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs),https://reactome.org/PathwayBrowser/#/R-HSA-456926
ENSG00000156052,P50148,GNAQ,R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,https://reactome.org/PathwayBrowser/#/R-HSA-6814122
ENSG00000148488,P61647,ST8SIA6,R-HSA-4085001,Sialic acid metabolism,https://reactome.org/PathwayBrowser/#/R-HSA-4085001
ENSG00000148488,P61647,ST8SIA6,R-HSA-975577,N-Glycan antennae elongation,https://reactome.org/PathwayBrowser/#/R-HSA-975577
ENSG00000186185,Q86Y91,KIF18B,R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,https://reactome.org/PathwayBrowser/#/R-HSA-6811434
ENSG00000186185,Q86Y91,KIF18B,R-HSA-983189,Kinesins,https://reactome.org/PathwayBrowser/#/R-HSA-983189
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,https://reactome.org/PathwayBrowser/#/R-HSA-113507
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-176187,Activation of ATR in response to replication stress,https://reactome.org/PathwayBrowser/#/R-HSA-176187
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-68616,Assembly of the ORC complex at the origin of replication,https://reactome.org/PathwayBrowser/#/R-HSA-68616
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-68689,CDC6 association with the ORC:origin complex,https://reactome.org/PathwayBrowser/#/R-HSA-68689
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-68867,Assembly of the pre-replicative complex,https://reactome.org/PathwayBrowser/#/R-HSA-68867
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-68949,Orc1 removal from chromatin,https://reactome.org/PathwayBrowser/#/R-HSA-68949
ENSG00000091651,Q9Y5N6,ORC6,R-HSA-68962,Activation of the pre-replicative complex,https://reactome.org/PathwayBrowser/#/R-HSA-68962
ENSG00000135052,Q8NBJ4,GOLM1,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),https://reactome.org/PathwayBrowser/#/R-HSA-381426
ENSG00000135052,Q8NBJ4,GOLM1,R-HSA-8957275,Post-translational protein phosphorylation,https://reactome.org/PathwayBrowser/#/R-HSA-8957275
ENSG00000128944,,KNSTRN,,,
ENSG00000227338,,,,,
ENSG00000103241,Q12946,FOXF1,R-HSA-9758920,Formation of lateral plate mesoderm,https://reactome.org/PathwayBrowser/#/R-HSA-9758920
ENSG00000103241,Q12946,FOXF1,R-HSA-9762293,Regulation of CDH11 gene transcription,https://reactome.org/PathwayBrowser/#/R-HSA-9762293
ENSG00000237167,,,,,
ENSG00000143590,P52797,EFNA3,R-HSA-2682334,EPH-Ephrin signaling,https://reactome.org/PathwayBrowser/#/R-HSA-2682334
ENSG00000143590,P52797,EFNA3,R-HSA-3928663,EPHA-mediated growth cone collapse,https://reactome.org/PathwayBrowser/#/R-HSA-3928663
ENSG00000143590,P52797,EFNA3,R-HSA-3928665,EPH-ephrin mediated repulsion of cells,https://reactome.org/PathwayBrowser/#/R-HSA-3928665
ENSG00000248869,,LINC02511,,,
ENSG00000075218,,GTSE1,R-HSA-69481,G2/M Checkpoints,https://reactome.org/PathwayBrowser/#/R-HSA-69481
ENSG00000075218,,GTSE1,R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,https://reactome.org/PathwayBrowser/#/R-HSA-8852276
ENSG00000130829,Q99956,DUSP9,R-HSA-112409,RAF-independent MAPK1/3 activation,https://reactome.org/PathwayBrowser/#/R-HSA-112409
ENSG00000130829,Q99956,DUSP9,R-HSA-5675221,Negative regulation of MAPK pathway,https://reactome.org/PathwayBrowser/#/R-HSA-5675221
ENSG00000130829,Q99956,DUSP9,R-HSA-9652817,Signaling by MAPK mutants,https://reactome.org/PathwayBrowser/#/R-HSA-9652817
ENSG00000093009,O75419,CDC45,R-HSA-176187,Activation of ATR in response to replication stress,https://reactome.org/PathwayBrowser/#/R-HSA-176187
ENSG00000093009,O75419,CDC45,R-HSA-176974,Unwinding of DNA,https://reactome.org/PathwayBrowser/#/R-HSA-176974
ENSG00000093009,O75419,CDC45,R-HSA-68962,Activation of the pre-replicative complex,https://reactome.org/PathwayBrowser/#/R-HSA-68962
ENSG00000093009,O75419,CDC45,R-HSA-69205,G1/S-Specific Transcription,https://reactome.org/PathwayBrowser/#/R-HSA-69205
ENSG00000152253,Q9HBM1,SPC25,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,https://reactome.org/PathwayBrowser/#/R-HSA-141444
ENSG00000152253,Q9HBM1,SPC25,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000152253,Q9HBM1,SPC25,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,https://reactome.org/PathwayBrowser/#/R-HSA-2500257
ENSG00000152253,Q9HBM1,SPC25,R-HSA-5663220,RHO GTPases Activate Formins,https://reactome.org/PathwayBrowser/#/R-HSA-5663220
ENSG00000152253,Q9HBM1,SPC25,R-HSA-68877,Mitotic Prometaphase,https://reactome.org/PathwayBrowser/#/R-HSA-68877
ENSG00000152253,Q9HBM1,SPC25,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,https://reactome.org/PathwayBrowser/#/R-HSA-9648025
ENSG00000151418,Q96LB4,ATP6V1G3,R-HSA-1222556,ROS and RNS production in phagocytes,https://reactome.org/PathwayBrowser/#/R-HSA-1222556
ENSG00000151418,Q96LB4,ATP6V1G3,R-HSA-77387,Insulin receptor recycling,https://reactome.org/PathwayBrowser/#/R-HSA-77387
ENSG00000151418,Q96LB4,ATP6V1G3,R-HSA-917977,Transferrin endocytosis and recycling,https://reactome.org/PathwayBrowser/#/R-HSA-917977
ENSG00000151418,Q96LB4,ATP6V1G3,R-HSA-9639288,Amino acids regulate mTORC1,https://reactome.org/PathwayBrowser/#/R-HSA-9639288
ENSG00000151418,Q96LB4,ATP6V1G3,R-HSA-983712,Ion channel transport,https://reactome.org/PathwayBrowser/#/R-HSA-983712
ENSG00000123473,,STIL,,,
ENSG00000182253,,SYNM,,,
ENSG00000175899,P01023,A2M,R-HSA-114608,Platelet degranulation ,https://reactome.org/PathwayBrowser/#/R-HSA-114608
ENSG00000175899,P01023,A2M,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,https://reactome.org/PathwayBrowser/#/R-HSA-140837
ENSG00000175899,P01023,A2M,R-HSA-1474228,Degradation of the extracellular matrix,https://reactome.org/PathwayBrowser/#/R-HSA-1474228
ENSG00000175899,P01023,A2M,R-HSA-8963896,HDL assembly,https://reactome.org/PathwayBrowser/#/R-HSA-8963896
ENSG00000162399,Q8WZ55,BSND,R-HSA-2672351,Stimuli-sensing channels,https://reactome.org/PathwayBrowser/#/R-HSA-2672351
ENSG00000267259,,ERVE-1,,,
ENSG00000144642,,RBMS3,,,
ENSG00000134917,Q9UP79,ADAMTS8,R-HSA-1474228,Degradation of the extracellular matrix,https://reactome.org/PathwayBrowser/#/R-HSA-1474228
ENSG00000134917,Q9UP79,ADAMTS8,R-HSA-5083635,Defective B3GALTL causes PpS,https://reactome.org/PathwayBrowser/#/R-HSA-5083635
ENSG00000134917,Q9UP79,ADAMTS8,R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,https://reactome.org/PathwayBrowser/#/R-HSA-5173214
ENSG00000178999,Q96GD4,AURKB,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,https://reactome.org/PathwayBrowser/#/R-HSA-141444
ENSG00000178999,Q96GD4,AURKB,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,https://reactome.org/PathwayBrowser/#/R-HSA-174178
ENSG00000178999,Q96GD4,AURKB,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000178999,Q96GD4,AURKB,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,https://reactome.org/PathwayBrowser/#/R-HSA-2500257
ENSG00000178999,Q96GD4,AURKB,R-HSA-4615885,SUMOylation of DNA replication proteins,https://reactome.org/PathwayBrowser/#/R-HSA-4615885
ENSG00000178999,Q96GD4,AURKB,R-HSA-5663220,RHO GTPases Activate Formins,https://reactome.org/PathwayBrowser/#/R-HSA-5663220
ENSG00000178999,Q96GD4,AURKB,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,https://reactome.org/PathwayBrowser/#/R-HSA-6804756
ENSG00000178999,Q96GD4,AURKB,R-HSA-68877,Mitotic Prometaphase,https://reactome.org/PathwayBrowser/#/R-HSA-68877
ENSG00000178999,Q96GD4,AURKB,R-HSA-9022692,Regulation of MECP2 expression and activity,https://reactome.org/PathwayBrowser/#/R-HSA-9022692
ENSG00000178999,Q96GD4,AURKB,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,https://reactome.org/PathwayBrowser/#/R-HSA-9648025
ENSG00000197465,,GYPE,,,
ENSG00000154764,O00755,WNT7A,R-HSA-3238698,WNT ligand biogenesis and trafficking,https://reactome.org/PathwayBrowser/#/R-HSA-3238698
ENSG00000154764,O00755,WNT7A,R-HSA-373080,Class B/2 (Secretin family receptors),https://reactome.org/PathwayBrowser/#/R-HSA-373080
ENSG00000205213,Q9BXB1,LGR4,R-HSA-4641263,Regulation of FZD by ubiquitination,https://reactome.org/PathwayBrowser/#/R-HSA-4641263
ENSG00000257588,,,,,
ENSG00000069535,P27338,MAOB,R-HSA-141333,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,https://reactome.org/PathwayBrowser/#/R-HSA-141333
ENSG00000164611,O95997,PTTG1,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,https://reactome.org/PathwayBrowser/#/R-HSA-174154
ENSG00000164611,O95997,PTTG1,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,https://reactome.org/PathwayBrowser/#/R-HSA-174178
ENSG00000164611,O95997,PTTG1,R-HSA-2467813,Separation of Sister Chromatids,https://reactome.org/PathwayBrowser/#/R-HSA-2467813
ENSG00000111665,,CDCA3,,,
ENSG00000061656,,SPAG4,,,
ENSG00000106462,Q15910,EZH2,R-HSA-212300,PRC2 methylates histones and DNA,https://reactome.org/PathwayBrowser/#/R-HSA-212300
ENSG00000106462,Q15910,EZH2,R-HSA-2559580,Oxidative Stress Induced Senescence,https://reactome.org/PathwayBrowser/#/R-HSA-2559580
ENSG00000106462,Q15910,EZH2,R-HSA-3214841,PKMTs methylate histone lysines,https://reactome.org/PathwayBrowser/#/R-HSA-3214841
ENSG00000106462,Q15910,EZH2,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,https://reactome.org/PathwayBrowser/#/R-HSA-5617472
ENSG00000106462,Q15910,EZH2,R-HSA-8943724,Regulation of PTEN gene transcription,https://reactome.org/PathwayBrowser/#/R-HSA-8943724
ENSG00000106462,Q15910,EZH2,R-HSA-8953750,Transcriptional Regulation by E2F6,https://reactome.org/PathwayBrowser/#/R-HSA-8953750
ENSG00000106462,Q15910,EZH2,R-HSA-9609690,HCMV Early Events,https://reactome.org/PathwayBrowser/#/R-HSA-9609690
ENSG00000106462,Q15910,EZH2,R-HSA-9710421,Defective pyroptosis,https://reactome.org/PathwayBrowser/#/R-HSA-9710421
ENSG00000183347,Q6ZN66,GBP6,R-HSA-877300,Interferon gamma signaling,https://reactome.org/PathwayBrowser/#/R-HSA-877300
ENSG00000077152,Q9NPD8,UBE2T,R-HSA-6783310,Fanconi Anemia Pathway,https://reactome.org/PathwayBrowser/#/R-HSA-6783310
ENSG00000077152,Q9NPD8,UBE2T,R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,https://reactome.org/PathwayBrowser/#/R-HSA-8866652
ENSG00000112782,Q9NZA1,CLIC5,R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,https://reactome.org/PathwayBrowser/#/R-HSA-9662360
